             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          38035190      cron jaws_per     jaws PD       0:00      1 (Dependency)
          37985214      cron Test_Har  usatlas PD       0:00      1 (Dependency)
          37985210      cron Harveste  usatlas PD       0:00      1 (Dependency)
          37982239      cron jaws_per     jaws PD       0:00      1 (Dependency)
          37836244      cron jaws-fil   kbjaws PD       0:00      1 (Dependency)
          37750607      cron runmac08  mcaprio PD       0:00      1 (Dependency)
          37750602      cron runmac08  mcaprio PD       0:00      1 (Dependency)
          31906823      cron /global/   usinha PD       0:00      1 (InvalidQOS)
          31906822      cron /global/   usinha PD       0:00      1 (InvalidQOS)
          33600696      cron rna-asse  ga_user PD       0:00      1 (launch failed requeued held)
          36595739      cron shifter_   msdata  R       0:22      1 login36
          37843681      cron cfs_user lgerhard  R       1:09      1 login28
          38038880      cron $HOME/es  essdive  R       1:10      1 login34
          36796168      cron /global/     sobs  R      41:00      1 login02
          36754947      cron jaws_jtm jaws_jtm  R    2:06:16      1 login30
          38194196      cron jaws_nmd   nmjaws  R    3:01:13      1 login29
          34892718      cron mtt_mast      hpp  R    3:40:54      1 login24
          30952223      cron jamo_dt_   t5user  R    5:52:32      1 login31
          38044494      cron scron_pt     desi  R    9:40:50      1 login26
          38262210      cron jaws_nmd   nmjaws  R   16:14:23      1 login13
          25950442      cron lz_post_   lzdata  R   17:09:30      1 login05
          38194207      cron jaws_per   nmjaws  R 1-16:20:51      1 login18
          38194206      cron jaws_per   nmjaws  R 1-17:35:35      1 login11
          38193240      cron d3dsf-gl    d3dsf  R 1-18:07:45      1 login06
          38193241      cron d3dsf-gl    d3dsf  R 2-03:07:47      1 login33
          38197560      cron jaws_per     jaws  R 2-11:39:21      1 login40
          38197553      cron jaws_kba   kbjaws  R 2-11:39:36      1 login16
          38193242      cron d3dsf-gl    d3dsf  R 2-15:23:23      1 login10
          26227560      cron /global/ rerunner  R 2-15:31:10      1 login04
          36859371      cron d3dsf-gl    d3dsf  R 3-10:10:14      1 login23
          35001130      cron condor-c kbaserun  R 6-16:43:05      1 login36
          38086430      cron jaws_nmd   nmjaws  R 6-18:18:09      1 login08
          38070704      cron runner17 hargrove  R 7-08:01:05      1 login17
          35001131      cron condor-p kbaserun  R 8-13:15:15      1 login30
          37985853      cron globus-c   tylern  R 8-15:15:11      1 login14
          37232703      cron scron_nw     desi  R 10-18:13:20      1 login13
          37787905      cron Test_Har  usatlas  R 10-18:13:20      1 login16
          37950457      cron jaws_kba   kbjaws  R 10-18:14:52      1 login15
          37950458      cron jaws_per     jaws  R 10-18:14:52      1 login32
          37950461      cron jaws_nmd   nmjaws  R 10-18:14:52      1 login12
          35867699      cron   condor   nmdcda  R 10-18:16:13      1 login19
          35867700      cron cromwell   nmdcda  R 10-18:16:13      1 login20
          36859372      cron d3dsf-gl    d3dsf  R 10-18:16:13      1 login25
          37823480      cron jaws_kba   kbjaws  R 10-18:16:13      1 login07
          37858910      cron jaws-fil   nmjaws  R 10-18:16:13      1 login27
          37933016      cron jaws_per     jaws  R 10-18:16:13      1 login09
          37836237      cron jaws_kba   kbjaws  R 14-03:17:52      1 login05
          37836163      cron logging_     jaws  R 14-17:31:05      1 login25
          37836197      cron logging_   nmjaws  R 14-17:31:05      1 login28
          37836245      cron logging_   kbjaws  R 14-17:31:05      1 login38
          35704818      cron jaws_per     jaws  R 15-03:18:00      1 login20
          35704819      cron jaws_per     jaws  R 15-03:18:00      1 login21
          35704820      cron watch_re     jaws  R 15-03:18:00      1 login23
          35704825      cron jaws-fil     jaws  R 15-03:18:00      1 login24
          36271645      cron jaws-fil   kbjaws  R 15-03:18:00      1 login29
          36614584      cron watch_re   nmjaws  R 15-03:18:00      1 login35
          36859373      cron d3dsf-gl    d3dsf  R 15-03:18:00      1 login03
          37695550      cron Harveste  usatlas  R 15-03:18:00      1 login01
          37824382      cron runner21 hargrove  R 15-03:18:00      1 login21
          34126247  gpu_ss11   REMORA   hklion PD       0:00    256 (ReqNodeNotAvail, UnavailableNodes:nid[003152-003153,003876-003877,004009])
          36842561  gpu_ss11 wg-6-lef      ndk PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:nid[003152-003153,003876-003877,004009])
          38278414  gpu_ss11     Eq10      mds PD       0:00     80 (Resources)
          38155914  gpu_ss11  MG_test leonhost PD       0:00    216 (Priority)
          38170477  gpu_ss11 MEG_ldm_    hwang PD       0:00     16 (Priority)
          36357701  gpu_ss11 ebe47400   zhongy PD       0:00      1 (Priority)
          36357700  gpu_ss11 ebe37800   zhongy PD       0:00      1 (Priority)
          38176974  gpu_ss11 launch_p   ying15 PD       0:00      4 (Priority)
          38153646  gpu_ss11 train_pa   aelabd PD       0:00      1 (Priority)
          37927111  gpu_ss11 pros_one      ynf PD       0:00     16 (Priority)
          37927114  gpu_ss11 pros_one      ynf PD       0:00     16 (Priority)
          38185183  gpu_ss11 pretrain   bbonev PD       0:00    128 (Priority)
          38192430  gpu_ss11 noact_re   ruijie PD       0:00      4 (Priority)
          38193746  gpu_ss11 d3d-em-0   lees17 PD       0:00    128 (Priority)
          38188126  gpu_ss11   job.sh  rvasdev PD       0:00      2 (Priority)
          38194674  gpu_ss11 50nmshoc  abhiagr PD       0:00    320 (Priority)
          38198632  gpu_ss11 WarpX_he  mgarten PD       0:00    128 (Priority)
          38119406  gpu_ss11 mp13_g.b    rajan PD       0:00    288 (Priority)
          38200215  gpu_ss11      TMD mlwagman PD       0:00     93 (Priority)
          38200374  gpu_ss11      TMD mlwagman PD       0:00     93 (Priority)
          38200467  gpu_ss11 squish_0   binxia PD       0:00      8 (Priority)
          38200473  gpu_ss11 squish_0   binxia PD       0:00      8 (Priority)
          38200549  gpu_ss11 dlsm_4va  ayushkp PD       0:00      8 (Priority)
          38200799  gpu_ss11     fast   ebelli PD       0:00    192 (Priority)
          38202448  gpu_ss11 submit_3  haoteli PD       0:00     32 (Priority)
          38138516  gpu_ss11 m2322_g.   junsik PD       0:00    288 (Priority)
          38204729  gpu_ss11     test     zfye PD       0:00      8 (Priority)
          38206817  gpu_ss11 human_re samarthb PD       0:00      1 (Priority)
          38208155  gpu_ss11 d_run144   steven PD       0:00    128 (Priority)
          38208551  gpu_ss11     Ours sooyoung PD       0:00      1 (Priority)
